feature,importance
percentile_25,0.12866661273304553
zone_close_std,0.09245555229153175
zone_background_std,0.08424824790259398
zone_near_field_std,0.05759768687716496
percentile_75,0.05520550163592838
zero_crossing_rate,0.04820966050192058
dominant_freq,0.04135896520272505
crest_factor,0.039652720479184264
spectral_entropy,0.03921212461103455
peak_to_peak,0.038392280660671976
spectral_flatness,0.03640840069346178
zone_mid_std,0.03613599712997395
kurtosis,0.035587079604368244
frequency_centroid,0.027859055833700522
mean,0.02740722484304872
mean_freq,0.021484445611950353
percentile_50,0.018611946423579342
zone_background_mean,0.0177112144074377
energy,0.01597684966209889
band_energy_0_50Hz,0.015466635753987646
zone_far_mean,0.015356390899618605
zone_far_std,0.015324119355309961
zone_near_field_mean,0.015235304414367306
std,0.014998328302349226
skewness,0.014550651952296817
rms,0.014507186611023432
zone_close_mean,0.012044297579616347
zone_mid_mean,0.011485662881376531
first_peak_idx,0.008849855144633689
