Model,Accuracy,Precision,Recall,F1-Score
Random Forest,0.9053347280334728,0.8556338028169014,0.9263024142312579,0.8895668090298963
Logistic Regression,0.7952405857740585,0.7308814944541739,0.795425667090216,0.7617888652266505
KNN,0.8509414225941423,0.8002392344497608,0.8500635324015248,0.8243992606284658
SVM,0.8867677824267782,0.8349970640046976,0.9034307496823379,0.8678669514800122
